1, Fullmetal Alchemist (TV), 8.73
2, Death Note (TV), 8.87
3, Cowboy Bebop (TV), 8.94
4, Spirited Away (movie), 8.97
5, Princess Mononoke (movie), 8.93
6, (The) Melancholy of Haruhi Suzumiya (TV), 8.57
7, Elfen Lied (TV), 8.31
8, Neon Genesis Evangelion (TV), 8.32
9, Code Geass: Lelouch of the Rebellion (TV), 8.86
10, Bleach (TV), 7.95
11, FLCL (OAV), 8.18
12, Code Geass: Lelouch of the Rebellion R2 (TV), 9.02
13, Naruto (TV), 7.52
14, Samurai Champloo (TV), 8.53
15, Trigun (TV), 8.37
16, Gurren Lagann (TV), 8.74
17, Rurouni Kenshin: Trust & Betrayal (OAV), 8.92
18, Full Metal Panic! (TV), 8.13
19, Howl's Moving Castle (movie), 8.62
20, Ouran High School Host Club (TV), 8.53
21, Clannad (TV), 8.60
22, Fullmetal Alchemist: Brotherhood (TV), 9.11
23, Fruits Basket (TV), 8.14
24, Chobits (TV), 7.64
25, Cowboy Bebop: The Movie, 8.45
26, Full Metal Panic? Fumoffu (TV), 8.40
27, Akira (movie), 7.94
28, 5 Centimeters Per Second (movie), 8.71
29, Rurouni Kenshin (TV), 8.36
30, (The) Girl Who Leapt Through Time (movie), 8.68
31, Ghost in the Shell (movie), 8.22
32, Final Fantasy VII: Advent Children (movie), 8.01
33, Hellsing (TV), 7.65
34, Azumanga Daioh (TV), 8.38
35, Clannad After Story (TV), 8.95
36, Fullmetal Alchemist: The Movie - Conqueror of Shamballa, 8.00
37, Ghost in the Shell: Stand Alone Complex (TV), 8.50
38, Mushi-Shi (TV), 8.80
39, Darker than Black (TV), 8.31
40, Fate/stay night (TV), 7.52
41, Nausicaä of the Valley of the Wind (movie), 8.68
42, Claymore (TV), 8.18
43, Inuyasha (TV), 7.29
44, Full Metal Panic! The Second Raid (TV), 8.43
45, Steins;Gate (TV), 9.15
46, Toradora! (TV), 8.49
47, Blood+ (TV), 7.96
48, Castle in the Sky (movie), 8.53
49, Black Lagoon (TV), 8.30
50, Angel Beats! (TV), 8.57
51, Neon Genesis Evangelion: The End of Evangelion (movie), 8.33
52, My Neighbor Totoro (movie), 8.66
53, Dragon Ball Z (TV), 7.16
54, Grave of the Fireflies (movie), 8.71
55, Eureka Seven (TV), 8.31
56, Air (TV), 7.95
57, Love Hina (TV), 7.41
58, Berserk (TV), 8.45
59, Last Exile (TV), 8.33
60, When They Cry - Higurashi (TV), 8.10
61, GTO: Great Teacher Onizuka (TV), 8.67
62, Baccano! (TV), 8.68
63, Wolf's Rain (TV), 7.95
64, Shakugan no Shana (TV), 8.02
65, Welcome to the NHK (TV), 8.51
66, Serial Experiments Lain (TV), 7.89
67, Haibane Renmei (TV), 8.48
68, Sword Art Online (TV), 7.36
69, Kiki's Delivery Service (movie), 8.28
70, Naruto Shippūden (TV), 7.89
71, (The) Vision of Escaflowne (TV), 8.08
72, Samurai 7 (TV), 8.17
73, One Piece (TV), 8.16
74, Attack on Titan (TV), 8.33
75, School Rumble (TV), 8.25
76, Soul Eater (TV), 8.14
77, Ergo Proxy (TV), 8.00
78, Lucky Star (TV), 8.01
79, Spice and Wolf (TV), 8.39
80, Black Lagoon: The Second Barrage (TV), 8.45
81, Eden of the East (TV), 8.39
82, Kanon (TV 2/2006), 8.65
83, Gungrave (TV), 8.35
84, Dragon Ball (TV), 7.27
85, Monster (TV), 8.77
86, High School of the Dead (TV), 7.55
87, Puella Magi Madoka Magica (TV), 8.62
88, Chrono Crusade (TV), 7.77
89, Summer Wars (movie), 8.76
90, Bakemonogatari (TV), 8.35
91, Gunslinger Girl (TV), 7.95
92, Lunar Legend Tsukihime (TV), 8.05
93, R.O.D -The TV-, 8.35
94, Read or Die (OAV), 8.05
95, (The) Familiar of Zero (TV), 7.78
96, Mobile Suit Gundam Seed (TV), 8.09
97, Yu Yu Hakusho: Ghost Files (TV), 8.10
98, anohana: The Flower We Saw That Day (TV), 8.81
99, My-HiME (TV), 8.06
100, Durarara!! (TV), 8.07
